CPU: 0, Speed: 19418.000356[Byte/us]
CPU: 1, Speed: 5646.696048[Byte/us]
CPU: 2, Speed: 5635.154113[Byte/us]
CPU: 3, Speed: 5577.148294[Byte/us]
CPU: 4, Speed: 18570.363470[Byte/us]
CPU: 5, Speed: 5653.530428[Byte/us]
CPU: 6, Speed: 5610.784253[Byte/us]
CPU: 7, Speed: 5573.831336[Byte/us]
CPU: 8, Speed: 18491.206268[Byte/us]
CPU: 9, Speed: 5630.413590[Byte/us]
CPU: 10, Speed: 5598.557850[Byte/us]
CPU: 11, Speed: 5569.108382[Byte/us]
CPU: 12, Speed: 18482.442726[Byte/us]
CPU: 13, Speed: 5629.625892[Byte/us]
CPU: 14, Speed: 5581.658384[Byte/us]
CPU: 15, Speed: 5559.268370[Byte/us]
CPU: 16, Speed: 18525.484336[Byte/us]
CPU: 17, Speed: 5632.275285[Byte/us]
CPU: 18, Speed: 5605.536652[Byte/us]
CPU: 19, Speed: 5565.433427[Byte/us]
CPU: 20, Speed: 18660.981832[Byte/us]
CPU: 21, Speed: 5669.571123[Byte/us]
CPU: 22, Speed: 5599.390030[Byte/us]
CPU: 23, Speed: 5566.447600[Byte/us]
CPU: 24, Speed: 20096.258882[Byte/us]
CPU: 25, Speed: 5643.278035[Byte/us]
CPU: 26, Speed: 5636.921657[Byte/us]
CPU: 27, Speed: 5574.883488[Byte/us]
CPU: 28, Speed: 18418.518381[Byte/us]
CPU: 29, Speed: 5664.403786[Byte/us]
CPU: 30, Speed: 5617.648961[Byte/us]
CPU: 31, Speed: 5579.328751[Byte/us]
CPU: 32, Speed: 18447.687884[Byte/us]
CPU: 33, Speed: 5633.018508[Byte/us]
CPU: 34, Speed: 5592.995148[Byte/us]
CPU: 35, Speed: 5567.717175[Byte/us]
CPU: 36, Speed: 18410.725744[Byte/us]
CPU: 37, Speed: 5632.804705[Byte/us]
CPU: 38, Speed: 5568.603344[Byte/us]
CPU: 39, Speed: 5550.683434[Byte/us]
CPU: 40, Speed: 18523.741453[Byte/us]
CPU: 41, Speed: 5648.048428[Byte/us]
CPU: 42, Speed: 5618.741178[Byte/us]
CPU: 43, Speed: 5579.407742[Byte/us]
CPU: 44, Speed: 18543.562523[Byte/us]
CPU: 45, Speed: 5600.455261[Byte/us]
CPU: 46, Speed: 5591.383657[Byte/us]
CPU: 47, Speed: 5572.917200[Byte/us]
