0,1083.488461
1,1076.226973
2,1072.982716
3,1076.192725
4,1125.855832
5,1074.144970
6,1071.616244
7,1066.356728
8,1125.948544
9,1083.413674
10,1071.015126
11,1071.193647
12,1125.645080
13,1074.450136
14,1076.291424
15,1076.846535
16,1125.634825
17,1075.425441
18,1080.551769
19,1073.930593
20,1124.671408
21,1080.331597
22,1071.419916
23,1067.789056
24,1091.433617
25,1043.648458
26,1068.554571
27,1071.424473
28,1125.258180
29,1077.527737
30,1063.850942
31,1067.540103
32,1125.289708
33,1066.144299
34,1075.748608
35,1061.214822
36,1125.164962
37,1075.943207
38,1077.898369
39,1074.628384
40,1125.201322
41,1078.627079
42,1068.909162
43,1063.989681
44,1120.526702
45,1079.316148
46,1073.873783
47,1071.210301
