CPU: 0, Speed: 26296.818352[Byte/us]
CPU: 1, Speed: 4595.006535[Byte/us]
CPU: 2, Speed: 4997.758427[Byte/us]
CPU: 3, Speed: 4631.660337[Byte/us]
CPU: 4, Speed: 10426.596031[Byte/us]
CPU: 5, Speed: 4738.568370[Byte/us]
CPU: 6, Speed: 5253.685276[Byte/us]
CPU: 7, Speed: 4620.011624[Byte/us]
CPU: 8, Speed: 10442.262447[Byte/us]
CPU: 9, Speed: 4670.710870[Byte/us]
CPU: 10, Speed: 5259.137639[Byte/us]
CPU: 11, Speed: 4659.285388[Byte/us]
CPU: 12, Speed: 10436.661775[Byte/us]
CPU: 13, Speed: 4613.172843[Byte/us]
CPU: 14, Speed: 5215.449400[Byte/us]
CPU: 15, Speed: 4544.137294[Byte/us]
CPU: 16, Speed: 11025.990845[Byte/us]
CPU: 17, Speed: 4669.951369[Byte/us]
CPU: 18, Speed: 5283.717247[Byte/us]
CPU: 19, Speed: 4468.778027[Byte/us]
CPU: 20, Speed: 10995.422468[Byte/us]
CPU: 21, Speed: 4636.206980[Byte/us]
CPU: 22, Speed: 5279.111143[Byte/us]
CPU: 23, Speed: 4589.042135[Byte/us]
CPU: 24, Speed: 23304.450986[Byte/us]
CPU: 25, Speed: 4665.512123[Byte/us]
CPU: 26, Speed: 4943.238683[Byte/us]
CPU: 27, Speed: 4541.567602[Byte/us]
CPU: 28, Speed: 10970.170136[Byte/us]
CPU: 29, Speed: 4575.549344[Byte/us]
CPU: 30, Speed: 4629.699457[Byte/us]
CPU: 31, Speed: 4585.603162[Byte/us]
CPU: 32, Speed: 11040.673150[Byte/us]
CPU: 33, Speed: 4648.944406[Byte/us]
CPU: 34, Speed: 4643.997669[Byte/us]
CPU: 35, Speed: 4647.052041[Byte/us]
CPU: 36, Speed: 10759.320556[Byte/us]
CPU: 37, Speed: 4596.415507[Byte/us]
CPU: 38, Speed: 4625.433648[Byte/us]
CPU: 39, Speed: 4531.163359[Byte/us]
CPU: 40, Speed: 11005.665940[Byte/us]
CPU: 41, Speed: 4750.737700[Byte/us]
CPU: 42, Speed: 4683.942217[Byte/us]
CPU: 43, Speed: 4547.012575[Byte/us]
CPU: 44, Speed: 11034.193587[Byte/us]
CPU: 45, Speed: 4757.619188[Byte/us]
CPU: 46, Speed: 4654.893302[Byte/us]
CPU: 47, Speed: 4584.617534[Byte/us]
