CPU: 0, Speed: 718.162912[Byte/us]
CPU: 1, Speed: 531.229267[Byte/us]
CPU: 2, Speed: 531.364208[Byte/us]
CPU: 3, Speed: 516.044447[Byte/us]
CPU: 4, Speed: 1112.987151[Byte/us]
CPU: 5, Speed: 522.891880[Byte/us]
CPU: 6, Speed: 526.334770[Byte/us]
CPU: 7, Speed: 515.799794[Byte/us]
CPU: 8, Speed: 1034.120566[Byte/us]
CPU: 9, Speed: 548.019385[Byte/us]
CPU: 10, Speed: 533.082052[Byte/us]
CPU: 11, Speed: 530.073733[Byte/us]
CPU: 12, Speed: 1114.532591[Byte/us]
CPU: 13, Speed: 553.231623[Byte/us]
CPU: 14, Speed: 522.217222[Byte/us]
CPU: 15, Speed: 533.250191[Byte/us]
CPU: 16, Speed: 1112.750389[Byte/us]
CPU: 17, Speed: 545.204712[Byte/us]
CPU: 18, Speed: 534.368829[Byte/us]
CPU: 19, Speed: 523.149466[Byte/us]
CPU: 20, Speed: 1115.704385[Byte/us]
CPU: 21, Speed: 552.488930[Byte/us]
CPU: 22, Speed: 527.704725[Byte/us]
CPU: 23, Speed: 605.308241[Byte/us]
CPU: 24, Speed: 1071.279686[Byte/us]
CPU: 25, Speed: 542.313066[Byte/us]
CPU: 26, Speed: 520.551199[Byte/us]
CPU: 27, Speed: 525.161449[Byte/us]
CPU: 28, Speed: 1048.934688[Byte/us]
CPU: 29, Speed: 555.433235[Byte/us]
CPU: 30, Speed: 528.483986[Byte/us]
CPU: 31, Speed: 532.888305[Byte/us]
CPU: 32, Speed: 1048.627134[Byte/us]
CPU: 33, Speed: 555.525802[Byte/us]
CPU: 34, Speed: 527.730985[Byte/us]
CPU: 35, Speed: 532.413124[Byte/us]
CPU: 36, Speed: 1049.826143[Byte/us]
CPU: 37, Speed: 551.982785[Byte/us]
CPU: 38, Speed: 529.267347[Byte/us]
CPU: 39, Speed: 513.907790[Byte/us]
CPU: 40, Speed: 1049.923794[Byte/us]
CPU: 41, Speed: 549.753934[Byte/us]
CPU: 42, Speed: 530.399846[Byte/us]
CPU: 43, Speed: 527.625677[Byte/us]
CPU: 44, Speed: 1114.764966[Byte/us]
CPU: 45, Speed: 537.458484[Byte/us]
CPU: 46, Speed: 531.474634[Byte/us]
CPU: 47, Speed: 529.826259[Byte/us]
