CPU: 0, Speed: 1079.281070[Byte/us]
CPU: 1, Speed: 593.329131[Byte/us]
CPU: 2, Speed: 585.336937[Byte/us]
CPU: 3, Speed: 563.978501[Byte/us]
CPU: 4, Speed: 1119.406966[Byte/us]
CPU: 5, Speed: 593.342693[Byte/us]
CPU: 6, Speed: 580.454452[Byte/us]
CPU: 7, Speed: 603.343131[Byte/us]
CPU: 8, Speed: 1115.130100[Byte/us]
CPU: 9, Speed: 602.389192[Byte/us]
CPU: 10, Speed: 585.058173[Byte/us]
CPU: 11, Speed: 585.797094[Byte/us]
CPU: 12, Speed: 1115.322975[Byte/us]
CPU: 13, Speed: 603.426575[Byte/us]
CPU: 14, Speed: 577.770818[Byte/us]
CPU: 15, Speed: 574.648979[Byte/us]
CPU: 16, Speed: 1113.933695[Byte/us]
CPU: 17, Speed: 602.998260[Byte/us]
CPU: 18, Speed: 579.621196[Byte/us]
CPU: 19, Speed: 582.342205[Byte/us]
CPU: 20, Speed: 1118.796525[Byte/us]
CPU: 21, Speed: 597.752788[Byte/us]
CPU: 22, Speed: 572.606121[Byte/us]
CPU: 23, Speed: 595.587416[Byte/us]
CPU: 24, Speed: 1080.156662[Byte/us]
CPU: 25, Speed: 586.260679[Byte/us]
CPU: 26, Speed: 572.272704[Byte/us]
CPU: 27, Speed: 579.093075[Byte/us]
CPU: 28, Speed: 1121.067259[Byte/us]
CPU: 29, Speed: 603.176503[Byte/us]
CPU: 30, Speed: 569.378939[Byte/us]
CPU: 31, Speed: 581.199178[Byte/us]
CPU: 32, Speed: 1113.088602[Byte/us]
CPU: 33, Speed: 601.402920[Byte/us]
CPU: 34, Speed: 574.563397[Byte/us]
CPU: 35, Speed: 567.575320[Byte/us]
CPU: 36, Speed: 1121.361956[Byte/us]
CPU: 37, Speed: 603.333900[Byte/us]
CPU: 38, Speed: 574.707354[Byte/us]
CPU: 39, Speed: 584.300009[Byte/us]
CPU: 40, Speed: 1115.444302[Byte/us]
CPU: 41, Speed: 595.239579[Byte/us]
CPU: 42, Speed: 576.455181[Byte/us]
CPU: 43, Speed: 577.943013[Byte/us]
CPU: 44, Speed: 1118.292539[Byte/us]
CPU: 45, Speed: 585.305868[Byte/us]
CPU: 46, Speed: 568.616385[Byte/us]
CPU: 47, Speed: 583.324296[Byte/us]
