CPU: 0, Speed: 957.165030[Byte/us]
CPU: 1, Speed: 1008.033402[Byte/us]
CPU: 2, Speed: 1008.563863[Byte/us]
CPU: 3, Speed: 1002.332023[Byte/us]
CPU: 4, Speed: 1123.869197[Byte/us]
CPU: 5, Speed: 1007.991860[Byte/us]
CPU: 6, Speed: 1011.916228[Byte/us]
CPU: 7, Speed: 1008.283110[Byte/us]
CPU: 8, Speed: 1126.432663[Byte/us]
CPU: 9, Speed: 1002.594270[Byte/us]
CPU: 10, Speed: 1007.411081[Byte/us]
CPU: 11, Speed: 1006.255338[Byte/us]
CPU: 12, Speed: 1126.681006[Byte/us]
CPU: 13, Speed: 1012.786867[Byte/us]
CPU: 14, Speed: 1011.150669[Byte/us]
CPU: 15, Speed: 1008.261048[Byte/us]
CPU: 16, Speed: 1126.872705[Byte/us]
CPU: 17, Speed: 1009.264634[Byte/us]
CPU: 18, Speed: 1009.342364[Byte/us]
CPU: 19, Speed: 1003.794828[Byte/us]
CPU: 20, Speed: 1126.594737[Byte/us]
CPU: 21, Speed: 1012.755856[Byte/us]
CPU: 22, Speed: 1004.294934[Byte/us]
CPU: 23, Speed: 1005.897816[Byte/us]
CPU: 24, Speed: 1095.637257[Byte/us]
CPU: 25, Speed: 997.515171[Byte/us]
CPU: 26, Speed: 1006.174055[Byte/us]
CPU: 27, Speed: 1007.617124[Byte/us]
CPU: 28, Speed: 1125.831587[Byte/us]
CPU: 29, Speed: 1016.505683[Byte/us]
CPU: 30, Speed: 1003.344841[Byte/us]
CPU: 31, Speed: 1005.724577[Byte/us]
CPU: 32, Speed: 1126.352935[Byte/us]
CPU: 33, Speed: 1012.879759[Byte/us]
CPU: 34, Speed: 1002.676592[Byte/us]
CPU: 35, Speed: 1006.848011[Byte/us]
CPU: 36, Speed: 1126.439956[Byte/us]
CPU: 37, Speed: 1007.516162[Byte/us]
CPU: 38, Speed: 1002.967513[Byte/us]
CPU: 39, Speed: 1002.153257[Byte/us]
CPU: 40, Speed: 1126.787148[Byte/us]
CPU: 41, Speed: 1014.618821[Byte/us]
CPU: 42, Speed: 1002.027389[Byte/us]
CPU: 43, Speed: 1011.335296[Byte/us]
CPU: 44, Speed: 1126.918982[Byte/us]
CPU: 45, Speed: 1010.908881[Byte/us]
CPU: 46, Speed: 1007.158331[Byte/us]
CPU: 47, Speed: 1004.900749[Byte/us]
