0,26296.818352
1,4595.006535
2,4997.758427
3,4631.660337
4,10426.596031
5,4738.568370
6,5253.685276
7,4620.011624
8,10442.262447
9,4670.710870
10,5259.137639
11,4659.285388
12,10436.661775
13,4613.172843
14,5215.449400
15,4544.137294
16,11025.990845
17,4669.951369
18,5283.717247
19,4468.778027
20,10995.422468
21,4636.206980
22,5279.111143
23,4589.042135
24,23304.450986
25,4665.512123
26,4943.238683
27,4541.567602
28,10970.170136
29,4575.549344
30,4629.699457
31,4585.603162
32,11040.673150
33,4648.944406
34,4643.997669
35,4647.052041
36,10759.320556
37,4596.415507
38,4625.433648
39,4531.163359
40,11005.665940
41,4750.737700
42,4683.942217
43,4547.012575
44,11034.193587
45,4757.619188
46,4654.893302
47,4584.617534
