CPU: 0, Speed: 42691.854861[Byte/us]
CPU: 1, Speed: 4477.420334[Byte/us]
CPU: 2, Speed: 4631.656650[Byte/us]
CPU: 3, Speed: 4356.408686[Byte/us]
CPU: 4, Speed: 9015.201884[Byte/us]
CPU: 5, Speed: 4457.013843[Byte/us]
CPU: 6, Speed: 4838.496286[Byte/us]
CPU: 7, Speed: 4518.303010[Byte/us]
CPU: 8, Speed: 9112.869294[Byte/us]
CPU: 9, Speed: 4308.162892[Byte/us]
CPU: 10, Speed: 4787.955300[Byte/us]
CPU: 11, Speed: 4372.422448[Byte/us]
CPU: 12, Speed: 9127.073824[Byte/us]
CPU: 13, Speed: 4308.025144[Byte/us]
CPU: 14, Speed: 4681.201065[Byte/us]
CPU: 15, Speed: 4335.388353[Byte/us]
CPU: 16, Speed: 9189.375072[Byte/us]
CPU: 17, Speed: 4392.792526[Byte/us]
CPU: 18, Speed: 4694.828793[Byte/us]
CPU: 19, Speed: 4476.983409[Byte/us]
CPU: 20, Speed: 9132.394029[Byte/us]
CPU: 21, Speed: 4199.577024[Byte/us]
CPU: 22, Speed: 4784.329527[Byte/us]
CPU: 23, Speed: 3968.967634[Byte/us]
CPU: 24, Speed: 25426.338111[Byte/us]
CPU: 25, Speed: 4524.227948[Byte/us]
CPU: 26, Speed: 4474.166582[Byte/us]
CPU: 27, Speed: 4367.405236[Byte/us]
CPU: 28, Speed: 9053.588758[Byte/us]
CPU: 29, Speed: 4433.173716[Byte/us]
CPU: 30, Speed: 4823.050564[Byte/us]
CPU: 31, Speed: 4332.116279[Byte/us]
CPU: 32, Speed: 9111.370848[Byte/us]
CPU: 33, Speed: 4445.656194[Byte/us]
CPU: 34, Speed: 4876.073450[Byte/us]
CPU: 35, Speed: 4428.779176[Byte/us]
CPU: 36, Speed: 9022.153616[Byte/us]
CPU: 37, Speed: 4396.230919[Byte/us]
CPU: 38, Speed: 4940.143218[Byte/us]
CPU: 39, Speed: 4438.977412[Byte/us]
CPU: 40, Speed: 9059.766145[Byte/us]
CPU: 41, Speed: 4400.166244[Byte/us]
CPU: 42, Speed: 5016.546766[Byte/us]
CPU: 43, Speed: 4391.723933[Byte/us]
CPU: 44, Speed: 8563.912209[Byte/us]
CPU: 45, Speed: 4452.613754[Byte/us]
CPU: 46, Speed: 4822.712565[Byte/us]
CPU: 47, Speed: 4335.103501[Byte/us]
